"screen_name","urls_t.co","text","quoted_retweet_count","hashtags","mentions_screen_name"
"Valter_em_JP","https://twitter.com/user/status/1273634532303024128","Desempenho dos Governadores contra o Covid-19 https://t.co/2JzTiEtrqa",0,"['cadaminuto']","['cadaminuto']"
"lucascduran","https://twitter.com/user/status/1273634531849973760","Bicho, o jornal local aqui da minha região tá há 3 dias seguidos fazendo matéria sobre os casos de COVID aqui, o trem tá feio demais",0,"['cadaminuto']","['cadaminuto']"
"nmonteiroc","https://twitter.com/user/status/1273634527609606144","E o recifense que vai ali no shopping pegar um covid?!",0,"['cadaminuto']","['cadaminuto']"
"aletchuco02","https://twitter.com/user/status/1273634498048032770","@joaokbe Tá de covid é?",0,"['cadaminuto']","['cadaminuto']"
"lucena_informa","https://twitter.com/user/status/1273634480566218752","Hospital usa robô para tratamento de pacientes com Covid-19, em João Pessoa https://t.co/9Y7gZ3NSFr",0,"['cadaminuto']","['cadaminuto']"
"Helfkdk","https://twitter.com/user/status/1273634463579361284","Covid vai embora logo  eu só queria jogar um handzinho <U+0001F614><U+270A>",0,"[]","[]"
"DragaoVivo","https://twitter.com/user/status/1273634448484040705","@danielPMERJ Quando a Sara e o Queiroz são presos é que acham que ""o Brasil irá atravessar um dos momentos mais difíceis de sua história"". Morreram mais de 40 mil brasileiros da Covid-19 e não acharam que era grave.",0,"[]","[]"
"OGlobo_Mundo","https://twitter.com/user/status/1273634444319117315","""Fernández sempre disse que um país só não se recupera dos mortos"", relata infectologista do governo argentino em entrevista a @janafig sobre a Covid-19 no país  https://t.co/xlwB7gombz",0,"[]","[]"
"OGlobo_Mundo","https://twitter.com/user/status/1273634439185207297","Fernández sempre disse que um país só não se recupera dos mortos, relata infectologista do governo argentino sobre Covid-19. Omar Sued revela preocupação da Casa Rosada com trânsito na fronteira com o Brasil https://t.co/fR9ksfBS6T",0,"[]","[]"
"littlefrann_","https://twitter.com/user/status/1273634435276181506","Que dia feliz meu pai: Queiroz preso e meu teste do Covid deu negativo <U+0001F601>",0,"[]","[]"
"ElielLeite7","https://twitter.com/user/status/1273634433556496384","Providência: Estado anuncia distribuição de um milhão de máscaras para cidades que não reduziram índices da Covid-19, municípios da Zona da Mata e do Agreste receberão os equipamentos de proteção... #PorDentroComCardinot",0,"['PorDentroComCardinot']","['PorDentroComCardinot']"
"AlexisdaItalia","https://twitter.com/user/status/1273634429899071489","Pequena historia do fim de Queiroz. Ele tem cancer e vai a proxima semana para hospital onde pega o coronavirus e morre em 5 dias de covid-19. Bolsonaro agradece o virus e diz que quem morre morreu, e daí?",0,"[]","[]"
"men3nergy","https://twitter.com/user/status/1273634429513195522","mainha aq apavorada ai dizendo q n eh p eu subir mais p chapada p n pegar covid kkkkkkkkk oh fia se eu pegar isso eu morro",0,"[]","[]"
"Cadamin","https://twitter.com/user/status/1273634414019448833","Assistentes sociais, garis, guardas municipais e coveiros devem ser testados para Covid... #cadaminuto https://t.co/CUAUU4QIkc",0,"['cadaminuto']","['cadaminuto']"
"luizsperry","https://twitter.com/user/status/1273634411028905988","@luduvicu Tão falando até de covid",0,"[]","[]"
"Luque86","https://twitter.com/user/status/1273634402594152449","@_luisabarreto__ @joaoavila07 @lance_flamengo Falou pouco e falou merda. Olha a curva do Covid na Europa e olha no Rio",0,"[]","[]"
"luscazak","https://twitter.com/user/status/1273634400614461441","covid-19 não entende que eu esperei tempo p ter um bigodinho e agora fazer eu tapar com a máscara?",0,"[]","[]"
"Cast_VH","https://twitter.com/user/status/1273634398521511944","É... O resultado do exame saiu... Meu pai teve a covid... https://t.co/mVeb8nMCKJ",0,"[]","[]"
"lucena_informa","https://twitter.com/user/status/1273634396118147072","‘Estamos vencendo a covid-19, mas não é o momento de relaxar’, diz secretário https://t.co/BnNnlhwIv9",0,"[]","[]"
"aalelms_","https://twitter.com/user/status/1273634394926874633","@nah_mouzinho Amadah, eu vou comprar o champanhe MAIS CARO que meu dinheiro puder pagar, porque vai ser uma comemoração tão grande quanto quando chegar a vacina do Covid",0,"[]","[]"
"TelvaniaLihong","https://twitter.com/user/status/1273634394419400704","@Dedaldino19 @crosado Agora então com o covid, coitados dos estudantes do 2.º ano",0,"[]","[]"
"JornalDestak","https://twitter.com/user/status/1273634379403845634","Covid-19: Reino Unido registou hoje mais 135 mortes, menos do que na véspera https://t.co/LEucyaEWPU",0,"[]","[]"
